Name,Type,Latitude,Longitude,Elevation_ft,Continent,ISO_Country,ISO_Region,Municipality,Scheduled_Service,GPS_Code,IATA_Code
Indira Gandhi International Airport,large_airport,28.5665,77.103104,777,AS,IN,IN-DL,New Delhi,1,VIDP,DEL
Chhatrapati Shivaji International Airport,large_airport,19.08869934,72.86789703,39,AS,IN,IN-MM,Mumbai,1,VABB,BOM
Kempegowda International Airport,large_airport,13.1979,77.706299,3000,AS,IN,IN-KA,Bangalore,1,VOBL,BLR
Chennai International Airport,large_airport,12.99000549,80.16929626,52,AS,IN,IN-TN,Chennai,1,VOMM,MAA
Dabolim Airport,large_airport,15.38080025,73.83139801,150,AS,IN,IN-GA,Vasco da Gama,1,VOGO,GOI
Cochin International Airport,large_airport,10.152,76.401901,30,AS,IN,IN-KL,Kochi,1,VOCI,COK
Netaji Subhash Chandra Bose International Airport,large_airport,22.65469933,88.44670105,16,AS,IN,IN-WB,Kolkata,1,VECC,CCU
Rajiv Gandhi International Airport,large_airport,17.23131752,78.42985535,2024,AS,IN,IN-TG,Hyderabad,1,VOHS,HYD
Trivandrum International Airport,large_airport,8.48211956,76.92009735,15,AS,IN,IN-KL,Thiruvananthapuram,1,VOTV,TRV
Sardar Vallabhbhai Patel International Airport,medium_airport,23.07719994,72.63469696,189,AS,IN,IN-GJ,Ahmedabad,1,VAAH,AMD
Jaipur International Airport,medium_airport,26.8242,75.812202,1263,AS,IN,IN-RJ,Jaipur,1,VIJP,JAI
HAL Airport,medium_airport,12.94999981,77.66819763,2912,AS,IN,IN-KA,Bangalore,1,VOBG,
Pune Airport,medium_airport,18.58209991,73.91970062,1942,AS,IN,IN-MM,Pune,1,VAPO,PNQ
Sri Guru Ram Dass Jee International Airport,large_airport,31.70960045,74.79730225,756,AS,IN,IN-PB,Amritsar,1,VIAR,ATQ
Vadodara Airport,medium_airport,22.336201,73.226303,129,AS,IN,IN-GJ,Vadodara,1,VABO,BDQ
Mangalore International Airport,medium_airport,12.9612999,74.89009857,337,AS,IN,IN-KA,Mangalore,1,VOML,IXE
Begumpet Airport,medium_airport,17.4531002,78.46759796,1742,AS,IN,IN-TG,Hyderabad,0,VOHY,BPM
Lal Bahadur Shastri Airport,medium_airport,25.45240021,82.85929871,266,AS,IN,IN-UP,Varanasi,1,VIBN,VNS
Calicut International Airport,large_airport,11.13679981,75.95529938,342,AS,IN,IN-KL,Calicut,1,VOCL,CCJ
Biju Patnaik Airport,medium_airport,20.24440002,85.81780243,138,AS,IN,IN-OR,Bhubaneswar,1,VEBS,BBI
Coimbatore International Airport,medium_airport,11.02999973,77.04340363,1324,AS,IN,IN-TN,Coimbatore,1,VOCB,CJB
Lokpriya Gopinath Bordoloi International Airport,medium_airport,26.10610008,91.58589935,162,AS,IN,IN-AS,Guwahati,1,VEGT,GAU
Lok Nayak Jayaprakash Airport,medium_airport,25.59129906,85.08799744,170,AS,IN,IN-BR,Patna,1,VEPT,PAT
Devi Ahilyabai Holkar Airport,medium_airport,22.72179985,75.80110168,1850,AS,IN,IN-MP,Indore,1,VAID,IDR
Jodhpur Airport,medium_airport,26.25110054,73.04889679,717,AS,IN,IN-RJ,Jodhpur,1,VIJO,JDH
Madurai Airport,medium_airport,9.83450985,78.09339905,459,AS,IN,IN-TN,Madurai,1,VOMD,IXM
